ID;title;artist;genre;year;bpm;nrgy;dnce;val;dur;lyrics;popu
139;Blow Me (One Last Kiss);P!nk;pop;2012;114;92;60;75;256;4;0
140;Underneath the Tree;Kelly Clarkson;pop;2013;160;81;51;69;230;5;88
141;Wake Me Up;Avicii;no pop;2013;124;78;53;64;247;5;85
142;Story of My Life;One Direction;no pop;2013;121;66;60;29;245;5;81
143;Just Give Me a Reason (feat. Nate Ruess);P!nk;pop;2013;95;55;78;44;243;5;81
144;Hall of Fame;The Script;no pop;2013;85;87;42;63;203;6;80
145;Roar;Katy Perry;pop;2013;180;77;55;46;224;4;78
146;We Can't Stop;Miley Cyrus;pop;2013;80;62;61;48;231;3;78
147;Don't You Worry Child - Radio Edit;Swedish House Mafia;no pop;2013;129;84;61;44;213;5;78
148;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk;no pop;2013;116;81;79;86;248;4;77
149;Wrecking Ball;Miley Cyrus;pop;2013;120;42;53;35;221;3;77
150;Impossible;James Arthur;pop;2013;170;70;38;30;209;9;77
151;Blurred Lines;Robin Thicke;pop;2013;120;60;85;84;264;4;76
152;Heart Attack;Demi Lovato;pop;2013;174;79;50;50;211;10;76
153;We Are Never Ever Getting Back Together;Taylor Swift;pop;2013;86;68;63;75;193;9;75
154;Die Young;Kesha;pop;2013;128;70;71;80;212;5;75
155;Clarity;Zedd;no pop;2013;128;78;51;18;271;7;75
156;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;pop;2013;126;81;57;11;215;6;74
157;Under Control;Calvin Harris;pop;2013;126;92;54;51;184;8;74
158;Everybody Talks;Neon Trees;no pop;2013;155;92;47;73;177;6;74
159;Hold On, We're Going Home;Drake;no pop;2013;100;41;77;29;228;10;73
160;Best Song Ever;One Direction;no pop;2013;118;88;65;49;200;5;73
161;Kiss You;One Direction;no pop;2013;90;93;63;91;183;6;73
162;Sweet Nothing (feat. Florence Welch);Calvin Harris;pop;2013;128;93;57;58;213;11;72
163;Lose Yourself to Dance;Daft Punk;no pop;2013;100;66;83;67;354;6;72
164;Work Bitch;Britney Spears;pop;2013;128;82;63;85;248;16;71
165;Brave;Sara Bareilles;pop;2013;185;84;55;76;221;5;71
166;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;pop;2013;146;93;63;88;258;8;70
167;Feel This Moment (feat. Christina Aguilera);Pitbull;pop;2013;136;76;67;54;230;16;70
168;Beneath Your Beautiful;Labrinth;no pop;2013;84;52;56;23;272;4;70
169;Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;pop;2013;125;68;66;25;252;4;70
170;Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;pop;2013;95;53;78;66;236;29;69
171;If I Lose Myself - Alesso vs OneRepublic;OneRepublic;pop;2013;126;75;52;16;215;4;69
172;The Way;Ariana Grande;pop;2013;82;88;65;86;227;11;68
173;Suit & Tie;Justin Timberlake;pop;2013;102;60;80;36;326;22;68
174;#thatPOWER;will.i.am;pop;2013;128;61;80;40;280;6;68
175;I Love It (feat. Charli XCX);Icona Pop;pop;2013;126;91;71;82;157;3;67
176;Play Hard (feat. Ne-Yo & Akon) - New Edit;David Guetta;pop;2013;130;87;72;68;209;4;67
